교차로코드,교차로명칭,지번,X좌표,Y좌표
1574,개봉현대아파트,471대,187261.879,543589.7467
1575,개웅초교입구,260-13대,187290.3769,543194.2085
1576,대원주유소,403-97도,187301.3872,543003.9465
1577,강동아트센터,98-79 도,187438.1466,544570.1946
1578,광성카센타,135-2도,187543.3253,544734.8226
1579,광성카센타(연등),183-2대,187672.5961,544944.8825
1580,개봉새마을금고,산9-14 공,186817.9976,544636.9921
1581,구로변전소,산68-1도,189743.6053,544287.2149
1582,오류2치안센터,332-6구,185917.5696,543519.6811
1583,오류지하차도,332-6구,185904.8314,543692.384
1584,오류남초교정문,134-2 도,185831.9144,543357.4573
1587,개봉현대홈타운210동,180-21철,187928.9277,543556.5124
1588,군악대,129-2도,198204.9642,544710.3444
1589,명수대현대아파트,11-4 도,197048.0138,545286.4779
1590,중앙대병원입구(연등),332천,196799.4109,545459.8312
1591,한강대교남단,10-2도,196114.8326,546012.1222
1592,수산시장입구,4-1철,195289.4726,545997.11
1593,노량진대성주유소,113-6구,195072.9242,546033.0625
1594,동작경찰서앞,67-3도,194917.2384,546023.3622
1595,청탑학원,70-4도,194575.3312,545999.0203
1596,기독교TV앞,27-1도,194394.7216,545978.5729
1597,솔표빌딩,58천,193736.4524,545974.8163
1598,성애병원,4900-1도,193123.5397,545989.0976
1599,신길삼거리(연등)1,4901-1도,192724.5671,546177.3546
1600,대신시장,110-6도,192658.6936,545857.3629
1602,영등포공원,582-18도,192186.8292,546100.9516
1603,도림동자치회관,4-1대,191845.7371,545568.0619
1604,도림초교,,191645.402,545454.6611
1605,도림사거리(연등)2,,191423.7986,545334.1099
1606,신길우성1차아파트(연등),156-42대,191075.5559,545147.3506
1607,성락주유소앞(연등),355-15도,191369.352,545086.8383
1608,성락빌딩앞(연등)1,355-15도,191304.844,544908.051
1609,성락빌딩앞,387-8도,191199.089,544841.1025
1610,신길대성유니드,397-2 전,191407.0063,544617.0831
1713,논현지구대(연등),29-4 대,202380.3518,545925.4354
1535,고척시장,50-65도,187805.475,544888.972
1611,대영중고,321-22 도,191540.7983,544766.9092
1612,대영중고(연등),342-288대,191580.6296,544687.2447
1613,대영초교,399도,191667.655,544533.0693
1614,신길광장공원,417-47도,191632.8885,544469.4928
1617,대림시장,948-1 대,191845.8758,543466.318
1618,평강교회(연등),4897-1도,191940.6221,543877.0432
1619,평강교회,4666도,191904.6608,544040.9394
1620,썬프라자(연등),253-251대,191881.1929,544274.0846
1621,신풍역(연등),253-249도,192056.7347,544718.4934
1622,수녀원,253-314 도,192055.752,544933.1276
1623,사러가시장앞,209-184 도,192132.2866,545156.9674
1625,신길터널입구,208-10대,192287.0999,545094.1472
1626,한성아파트,897-2대,192784.5999,544970.4485
1627,한성아파트101동앞,1194도,192955.5686,544965.4338
1628,대방대림아파트,4876도,193296.1202,545577.236
1629,성남고교입구,1164대,193168.6408,545186.189
1630,신길우성2차아파트,3112도,192131.796,544411.5772
1631,대길초교,2516대,192369.2164,544351.6775
1632,기상청입구(연등)1,375-12도,192829.5806,544226.0822
1633,기상청입구,4884도,192710.0137,544196.0614
1634,경남교수아파트,4896도,192420.0087,544129.5753
1635,대림우성아파트,551-8도,192119.6671,543886.7737
1636,범한택시(연등)2,466-59도,193148.9033,544491.6027
1637,범한택시,466-60도,193286.501,544487.8761
1638,범한택시(연등),390-5학,193150.676,544493.208
1639,보라매삼성아파트,343-1도,193575.5133,543940.5699
1640,신대방삼거리역(연등)2,335-126대,193644.5051,544343.3296
1641,성대시장(연등),326도,193855.8166,544481.7828
1642,성대시장,345-12도,193982.7162,544559.5993
1643,동광교회,354-7도,194214.8753,544742.6466
1644,영화초교,41대,193999.4696,545482.8972
1645,국민은행상도,366-27도,194508.7684,544978.327
1646,노량진초교,56-19도,194712.4882,545627.4161
1647,동작등기소,26-20도,194827.3937,545081.8148
1648,서울도시가스,26-20도,195098.1356,545087.7725
1649,대림쇼핑센터,32-8도,195246.9989,545040.9731
1650,상도지구대,364-32도,194631.8469,544968.3933
1651,상도지구대(연등),184-2도,194690.4188,544811.5675
1653,상도아이파크아파트,201-38 도,194843.313,544581.0839
1654,신상도초교정문,165-16대,194957.816,544482.9124
1656,신상도지하차도앞,26-20도,195201.4359,544694.2898
1657,대림쇼핑센터(연등),32-7 도,195279.4792,544998.7138
1551,동부주유소,102-28제,204178.6661,550235.5306
1563,온수역8번출구,9-5 전,184503.9167,543737.0654
1658,상도건영아파트,324-2도,195411.6175,545301.7953
1659,강남초교(연등),2-1대,195647.133,545034.2063
1660,강남초교,7-10대,195754.1583,545046.283
1661,강남초교정문,500-1도,195770.3085,545167.6723
1662,궁전빌라,633-5대,195510.6846,544653.4143
1663,숭실의원,333-13대,195703.6826,544373.705
1664,상도1동주민센터입구,171-2도,195800.7748,544233.6131
1665,관악현대아파트(연등),124 도,196151.5353,543659.0099
1667,숭실대후문,산49-78임,196365.8749,543942.2161
1668,상현중,103-3도,196536.9459,543919.8979
1669,중대부속초교,182-4 대,196552.9284,545128.4088
1670,은로초교,86-191 도,196518.7351,544805.8691
1672,길성그랑프리텔,4884도,192801.3159,544501.5406
1673,영진시장,4035 도,192596.0864,544509.732
7474,마포대교북단램프3,500대,194816.9621,548602.5573
981,우신초교앞(연등)1,220-103도,192036.8485,545819.6797
982,신풍역,3609도,191942.5605,544524.3283
983,신도림역,330-7도,190307.5943,545646.8489
984,르네상스호텔,802-36 도,203780.7846,544796.6284
985,성동교,671-126도,203898.0607,550219.7796
987,당고개노인복지관,54답,207172.5265,563423.6793
988,원남동사거리(연등),,199751.6792,553050.1638
989,서래마을입구,128-12도,199821.0446,544495.1908
990,방배신동아아파트,1494-16 대,200192.9989,542539.6593
991,서울고교(연등)2,1037-5도,200447.3342,542447.3691
992,래미안아트힐(연등),1747-3도,200588.897,542086.5216
994,올바로병원,1748-65 도,200364.858,542962.1104
995,효령아파트(연등)2,912-25도,199670.6735,542399.2333
996,방배그랑자이,1018-1대,200053.9634,541951.9854
997,방배3치안센터(연등)1,982-4도,199897.8437,542255.468
998,e편한세상아파트입구,910-16도,199690.8756,542649.2865
1000,방배래미안타워,504-3도,199220.4336,541659.4169
1001,대항병원,980-53도,198890.4011,541778.755
1002,평화약국,1034-8대,198026.6085,541914.5312
1003,방배우성아파트,3235구,198444.4953,541534.2003
1004,방배래미안아파트,3274대,198507.4464,541388.4724
1006,수도방위사령부,산97-6도,198819.0749,540943.6
1007,그린자원,산84-3임,199464.0081,541588.6279
1008,KEB하나은행방배동,880-15도,199559.3279,542897.6289
1009,남성초교,323-6도,198008.4998,542713.6344
1010,반포대교남단,128-2도,199895.1656,545582.9556
1011,이수자이아파트앞,708-513천,198173.1183,542774.817
1534,고척중,79-9도,187939.0506,544584.3537
1585,소천지,86-1도,187805.6348,544208.8011
1601,약산약국,187-23 대,192445.3564,545792.2321
1012,범진여객,708-834천,197747.2891,542651.4819
1013,국민은행남성,252-5도,197560.9129,542737.3761
1014,국민은행남성(연등)2,169-8대,197514.846,542774.9332
1015,남성역,708-1048도,197240.0142,542948.8817
1016,남성역(연등)1,708-1025도,197152.4343,543043.7103
1017,이수초교,456-26대,198466.0741,542094.3409
1018,동작고,산32-83임,196987.8666,542428.7234
1019,사당5치안센터(연등),200전,197011.2439,543213.9275
1020,동양시스템,42-15도,211461.9847,545300.7776
1021,함지박사거리,12-56대,199155.9423,543709.0699
1022,방배열린문화센터,841-2대,199371.6783,543278.2391
1023,동국한방병원,836-11도,199306.7781,543406.3878
1024,동국한방병원(연등),812-26도,199254.0037,543512.1465
1025,서울성모병원정문,522도,200357.7987,544474.58
1026,서초경찰서,1748-7도,200513.6353,544012.5828
1027,서울성모병원정문(연등),513-2도,200373.7496,544393.2577
1028,서초경찰서(연등),1748-7도,200577.8434,543848.5655
1029,효령아파트(연등)1,917-8도,199434.3138,542302.7863
1030,효령아파트,924-8대,199549.7389,542349.5389
1031,서울메트로뒤,474-28도,198821.7649,541975.2326
1032,서초3동우체국,1718-4대,200749.0713,543410.6832
1034,효창운동장,132-198임,196674.924,549347.7476
1035,방배초교입구,864-41도,198761.9973,542928.2763
1036,정금마을,55-3도,198472.7794,543813.68
1037,경문고교,79-49도,198464.0794,543493.68
1038,서래초교앞,757-4 도,198930.9327,544142.9854
1039,유경약국,758-4대,198780.516,543843.3511
1040,뒷벌어린이공원,776-3대,198834.7145,543552.6
1041,서초중앙국민은행,1650학,201347.2221,543030.5745
1042,교대부속초등학교,1748-20도,201263.884,543414.7193
1043,법원후문,1748-6도,201169.4663,544011.3138
1044,사법연수원,1748-6도,201111.9329,544332.5426
1045,디에이치라클라스정문,30-26 대,201081.551,544520.944
1046,궁전가든,131-1 천,201016.0912,544793.7565
1047,뉴코아아울렛(연등),65-32대,200680.3606,545587.971
1048,뉴코아백화점,102도,200626.4343,545705.1011
1049,반포3동주민센터,102도,200536.4623,545922.6881
1050,아크로리버뷰아파트,121천,200730.5082,546171.2206
1052,이수교KCC 스위첸2차아파트,산29-2도,198522.0801,544198.552
1053,사당삼성생명,493-5천,198394.3921,542295.2014
1051,신동초교,78도,200928.0873,546401.291
